学号,姓名,论文题目,论文段落
3001,马头,JSP的特点,JavaBeans类完成数据提供，这样在模板中就没有Java代码，这意味着这些模板可以由一个HTML编写人员来维护。当然，也可以利用Java Servlet来控制网站的逻辑，通过Java Servlet调用JSP文件的方式来将网站的逻辑和内容分离。 一般来说，在实际的JSP引擎中，JSP页面在执行时是编译式，而不是解释式的。解释式的动态网页开发工具如ASP、PHP3等由于速度等原因已经满足不了当前大型电子商务应用的需要了，传统的开发技术都在向编译执行的方式改变，如ASP→ASP+；PHP3→PHP4。
3001,马头,JSP的特点,在JSP规范书中，并没有明确要求JSP中的程序代码部分(称为Scriptlet)一定要用Java来写。实际上，有一些JSP引擎就是采用的其他脚本语言，如EMAC-Script、WebL等，但实际上这几种脚本语言也是构建在Java上面，编译为Servlet来实现的。
3001,马头,JSP的特点,按照JSP规范书写，和Java没有任何关系的Scriptlet也是可以的，不过，由于JSP的强大功能主要在于能和JavaBeans、Enterprise JavaBeans共同运转，所以即使是Scriptlet部分不使用Java，编译成的执行代码也应该是与Java相关的。
3002,王憨憨,JSP的机制,非Java开发者可以通过JSP的标签(Tags)来使用高级Java开发者创建的JavaBeans。Java开发者不仅可以创建和使用JavaBeans，还能在JSP页中使用Java语言来更精密地控制基于底层JavaBeans的表达逻辑。  
3002,王憨憨,JSP的机制,现在来看看JSP是如何处理HTTP请求的。在基本请求模型中，一个请求直接被送到JSP页中。JSP代码控制着进行逻辑处理时与JavaBeans组件的交互，并在动态生成的、混合了静态HTML代码的HTML页中显示结果。Beans 可以是JavaBeans 或EJB组件。另外，更加复杂的请求模型可看作从被请求页呼叫其他JSP页或Java Servlets。 JSP引擎实际上要把JSP标签、JSP页中的Java代码甚至连同静态HTML内容都转换为大块的Java代码。这些代码块被JSP引擎组织到用户看不到的Java Servlet中去，然后Servlet自动把它们编译成Java字节码。
3002,王憨憨,JSP的机制,这样，当网站的访问者请求一个JSP页时，在它不知道的情况下，一个已经生成的、预编译过的Servlet实际上将完成所有的工作，非常隐蔽而又高效。因为Servlet是编译过的，所以网页中的JSP代码不需要在每次请求该页时被解释一遍。JSP引擎只需在Servlet代码最后被修改后编译一次，然后这个编译过的Servlet就可以被执行了。
3002,王憨憨,JSP的机制,由于是JSP引擎自动生成并编译Servlet，不用程序员动手编译代码，所以JSP能带给你高效的性能和快速开发所需的灵活性。 和传统的CGI相比较，JSP有相当的优势。首先，在速度上，传统的CGI程序需要使用系统的标准输入输出设备来实现动态网页的生成，而JSP是直接和服务器相关联的。而且对于CGI来说，每一个访问就需要新增加一个进程来处理，进程不断地建立和销毁对于作为Web服务器的计算机将是不小的负担。其次，JSP是专门为Web开发而设计的，其目的是为了建立基于Web的应用程序，其中包含了一整套的规范和工具。使用JSP技术可以很方便地将一大堆JSP页面组合成为一个Web应用程序。
3003,恨劫,基于JavaEE 的统一信息平台,目前，中国移动已经从仅提供语音业务及基本数据业务的单一业务通信运营商逐渐转化成提供语音、基本数据业务、网络服务以及多媒体业务的综合业务通信运营商。作为中国移动分公司之一的新疆移动在企业信息化的实践过程中逐步确立的IT 架构，在实际的运营中起到十分重要的作用。
3003,恨劫,基于JavaEE 的统一信息平台,长期以来，新疆移动采用的信息系统管理方式是各部门建设管理本部门的信息系统，整个公司各部门的信息管理系统之间就像一个个孤岛，互相之间无法交互跨部门之间的工作交互无法通过系统实现自动衔接，造成工作上的效率不高。而且对于工作中与各部门都有交互穿插的工作人员来说，在日常工作中需要登录使用不同的信息系统，也会让员工觉得十分不方便。
3003,恨劫,基于JavaEE 的统一信息平台,在当今社会的大环境下，市场化竞争越演越烈，所有的企业都在不停的寻求管理体制的变革，谋求如何提高生产管理水平，规范生产作业过程，提高工作效率，降低生产成本的方法。在这种情况下，依赖以往各自为政的信息系统开发、维护及运营管理方式是无法保证公司长久屹立于世界知名企业之列的。现实环境要求必须采用先进的企业文化理念，使用先进的企业管理方法，引进先进的信息系统技术，并结合通信行业的特点来整合公司的各信息系统，建设新疆移动的统一信息平台。通过统一信息平台解决企业信息孤岛等问题，实现对公司运营生产工作的有效管控，从而提升公司的综合实力，使得公司在激烈的市场竞争中能够利于不败之地。
